dataset_title,id,image_filename,organ,disease_state,oncotree_code,species,patient,st_technology,data_publication_date,license,study_link,download_page_link1,inter_spot_dist,spot_diameter,spots_under_tissue,preservation_method,nb_genes,treatment_comment,pixel_size_um_embedded,pixel_size_um_estimated,magnification,fullres_px_width,fullres_px_height,tissue,disease_comment,subseries,hest_version_added
Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,TENX192,TENX192.tif,Breast,Cancer,IDC,Homo sapiens,Patient 1,Xenium,2025-12-11,Creative Commons Attribution,https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,100.0,100.0,7972,FFPE,541,,0.2738139406891623,0.27415614615648126,,31283,32331,Breast,"DCIS, T2 N0 M0, G2, ER+/PR+/HER2-2+","Section 1, middle",v1_3_0
Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,TENX191,TENX191.tif,Breast,Cancer,IDC,Homo sapiens,Patient 1,Xenium,2025-12-11,Creative Commons Attribution,https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,100.0,100.0,6111,FFPE,541,,0.27380929987263214,0.2740410920775886,,20515,43995,Breast,"IDC, T3 N0 M0, G3, HER2-Neg","Section 1, top",v1_3_0
Post-Xenium Technical Note: Xenium v1 and Xenium Prime 5K for FFPE Human Lung Cancer,TENX190,TENX190.tif,Lung,Cancer,LUAD,Homo sapiens,,Xenium 5k,2024-11-06,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-human-lung-cancer-post-xenium-technote,100.0,100.0,7281,FFPE,541,,0.2738086101362688,0.2740367237600741,,25078,43448,Lung,"Lung Cancer, Invasive Acinar Adenocarcinoma, IB, T2a N0 MX","Experiment 1, Xenium v1",v1_3_0
Post-Xenium Technical Note: Xenium v1 and Xenium Prime 5K for FFPE Human Lung Cancer,TENX189,TENX189.tif,Lung,Cancer,LUAD,Homo sapiens,,Xenium 5k,2024-11-06,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-human-lung-cancer-post-xenium-technote,100.0,100.0,7189,FFPE,10029,,0.2737674721480609,0.27376313334588065,,26720,43270,Lung,"Lung Cancer, Invasive Acinar Adenocarcinoma, IB, T2a N0 MX","Experiment 2, Xenium Prime 5K",v1_3_0
Fresh Frozen Human Ovarian Adenocarcinoma with 5K Human Pan Tissue and Pathways Panel,TENX160,TENX160.tif,Ovary,Cancer,HGSOC,Homo sapiens,,Xenium 5k,2024-09-04,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-prime-fresh-frozen-human-ovary,100.0,100.0,20123,Fresh Frozen,5001,,0.27377537945678254,0.2737374305049762,,78928,41263,Ovary,Ovarian Adenocarcinoma,,v1_3_0
FFPE Human Ovarian Cancer with 5K Human Pan Tissue and Pathways Panel plus 100 Custom Genes,TENX187,TENX187.tif,Ovary,Cancer,HGSOC,Homo sapiens,,Xenium 5k,2024-09-04,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-ovarian-cancer,100.0,100.0,8556,FFPE,5101,,0.27381747951119634,0.27403384496727895,,30918,43993,Ovary,Ovarian Papillary Serous Carcinoma: III-B (T3b N0 MX),,v1_3_0
FFPE Human Cervical Cancer with 5K Human Pan Tissue and Pathways Panel plus 100 Custom Genes,TENX188,TENX188.tif,Cervix,Cancer,TODO,Homo sapiens,,Xenium 5k,2024-09-04,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-cervical-cancer,100.0,100.0,10924,FFPE,5001,,0.27381448800099734,0.2741220366330526,,38219,46545,Cervix,Stage III-B (T1b N1 MX),,v1_3_0
Fishing with Two Lines: A Hybrid Approach to Spatial Transcriptomic Discovery,NCBI888,NCBI888.tif,Lung,Healthy,,Homo sapiens,,Xenium 5k,"January 7, 2026",Creative Commons Attribution 4.0 International,https://pmc.ncbi.nlm.nih.gov/articles/PMC12803277/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9427181,100.0,100.0,22736,FFPE,10029,,0.252300004687734,0.251741446276066,,91799,47122,Lung,,PDLTMA06-11_5K,v1_3_0
Fishing with Two Lines: A Hybrid Approach to Spatial Transcriptomic Discovery,NCBI887,NCBI887.tif,Lung,Healthy,,Homo sapiens,,Xenium 5k,"January 7, 2026",Creative Commons Attribution 4.0 International,https://pmc.ncbi.nlm.nih.gov/articles/PMC12803277/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9427182,100.0,100.0,23044,FFPE,10029,,0.252300004687734,0.25168741753676,,91799,46959,Lung,,PDLTMA06-10_5K,v1_3_0
Fishing with Two Lines: A Hybrid Approach to Spatial Transcriptomic Discovery,NCBI886,NCBI886.tif,Lung,Healthy,,Homo sapiens,,Xenium,"January 7, 2026",Creative Commons Attribution 4.0 International,https://pmc.ncbi.nlm.nih.gov/articles/PMC12803277/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9427183,100.0,100.0,23411,FFPE,541,,0.252300004687734,0.251733297175723,,91799,46959,Lung,,PDLTMA6-10-v1,v1_3_0
Fishing with Two Lines: A Hybrid Approach to Spatial Transcriptomic Discovery,NCBI885,NCBI885.tif,Lung,Healthy,,Homo sapiens,,Xenium,"January 7, 2026",Creative Commons Attribution 4.0 International,https://pmc.ncbi.nlm.nih.gov/articles/PMC12803277/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM9427184,100.0,100.0,23209,FFPE,541,,0.252300004687734,0.251692030258389,,89999,45984,Lung,,NB_PDLTMA6-9,v1_3_0
"Visium HD 3' Gene Expression Library, Mouse Kidney (Fresh Frozen)",TENX186,TENX186.tif,Kidney,Healthy,,Mus musculus,,Visium HD 3',2025-10-13,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-mouse-kidney,2.0,2.0,1778,Fresh Frozen,33696,,0.264583333333333,0.273744584198967,40x,28181,18663,Kidney,,,v1_2_0
"Cross-Platform Comparison: Visium HD Spatial Gene Expression Library, Human Ovarian Cancer (Fresh Frozen)",TENX185,TENX185.tif,Ovary,Cancer,SOC,Homo sapiens,,Visium HD,2025-10-07,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-ovarian-cancer-discovery-fresh-frozen,2.0,2.0,2068,Fresh Frozen,18132,,0.264583333333333,0.27387774332693,40x,24882,30496,Ovary,"(Ovarian Cancer, Ovarian Papillary Serous Carcinoma, II-A).",Minimum Sequencing Depth,v1_2_0
"Cross-Platform Comparison: Visium HD Spatial Gene Expression Library, Human Ovarian Cancer (Fresh Frozen)",TENX184,TENX184.tif,Ovary,Cancer,SOC,Homo sapiens,,Visium HD,2025-10-07,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-ovarian-cancer-discovery-fresh-frozen,2.0,2.0,2068,Fresh Frozen,18132,,0.264583333333333,0.27387774332693,40x,24882,30496,Ovary,"(Ovarian Cancer, Ovarian Papillary Serous Carcinoma, II-A).",Deep sequencing,v1_2_0
"Cross-Platform Comparison: Visium HD 3' Gene Expression Library, Human Ovarian Cancer (Fresh Frozen)",TENX183,TENX183.tif,Ovary,Cancer,SOC,Homo sapiens,,Visium HD 3',2025-10-07,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-ovarian-cancer-discovery-fresh-frozen,2.0,2.0,2113,Fresh Frozen,38606,,0.264583333333333,0.273797392815952,40x,25811,26686,Ovary,"(Ovarian Cancer, Ovarian Papillary Serous Carcinoma, II-A).",Minimum Sequencing Depth,v1_2_0
"Cross-Platform Comparison: Visium HD 3' Gene Expression Library, Human Ovarian Cancer (Fresh Frozen)",TENX182,TENX182.tif,Ovary,Cancer,SOC,Homo sapiens,,Visium HD 3',2025-10-07,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-ovarian-cancer-discovery-fresh-frozen,2.0,2.0,2113,Fresh Frozen,38606,,0.264583333333333,0.273797392815952,40x,25811,26686,Ovary,"(Ovarian Cancer, Ovarian Papillary Serous Carcinoma, II-A).",Deep sequencing,v1_2_0
"Visium HD 3' Gene Expression Library, Mouse Brain (Fresh Frozen)",TENX181,TENX181.tif,Brain,Healthy,,Mus musculus,,Visium HD 3',2025-07-24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-mouse-brain-fresh-frozen,2.0,2.0,1574,Fresh Frozen,33696,,0.264583333333333,0.273860774456906,40x,21318,19514,Brain,,,v1_2_0
"Visium HD Spatial Gene Expression Library, Human Breast Cancer (Fresh Frozen), Ultima Sequencing",TENX180,TENX180.tif,Breast,Cancer,IDC,Homo sapiens,,Visium HD,2025-07-24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-breast-cancer-ff-ultima-4,2.0,2.0,2377,Fresh Frozen,18085,,0.264583333333333,0.546840692459342,40x,16016,14625,Breast,Invasive ductal carcinoma (DCIS RIN: 7.7),,v1_2_0
"Visium HD 3' Gene Expression Library, Human Pancreatic Cancer (Fresh Frozen)",TENX179,TENX179.tif,Pancreas,Cancer,PDAC,Homo sapiens,,Visium HD 3',2025-07-03,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-human-pancreatic-cancer-fresh-frozen,2.0,2.0,2164,Fresh Frozen,38606,,0.264583333333333,0.273595314382342,40x,45702,48733,Pancreas,,,v1_2_0
"Visium HD Spatial Gene Expression Library, Human Lymph Node (FFPE)",TENX178,TENX178.tif,Lymphoid,Healthy,,Homo sapiens,,Visium HD,2025-07-03,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-lymph-node-v4,2.0,2.0,1829,FFPE,18132,,0.264583333333333,0.273775031262766,40x,28248,26128,Prelaryngeal lymph node,,,v1_2_0
"Visium HD 3' Gene Expression Library, Human Ovarian Cancer (Fresh Frozen)",TENX177,TENX177.tif,Ovary,Cancer,CCOV,Homo sapiens,,Visium HD 3',2025-06-10,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-ovarian-cancer-fresh-frozen,2.0,2.0,1963,Fresh Frozen,38606,,0.264583333333333,0.273706175825143,40x,83479,53112,Ovary,Clear Cell Adenocarcinoma,,v1_2_0
"Visium HD 3' Gene Expression Library, Mouse Embryo (Fresh Frozen)",TENX176,TENX176.tif,Embryo,Healthy,,Mus musculus,,Visium HD 3',2025-06-10,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-mouse-embryo-fresh-frozen,2.0,2.0,2232,Fresh Frozen,33696,,0.264583333333333,0.273802135986911,40x,48978,38147,Embryo,,,v1_2_0
"Visium HD 3' Gene Expression Library, Human + Mouse Xenograft (Fresh Frozen)",TENX175,TENX175.tif,Bowel,Cancer/Genetically modified,COAD,Homo sapiens/Mus musculus,,Visium HD 3',2025-06-10,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-human-mouse-xenograft-fresh-frozen,2.0,2.0,2163,Fresh Frozen,72302,,0.264583333333333,0.273700254366803,40x,23070,34518,Colon,,,v1_2_0
"Visium HD Spatial Gene Expression Library, Human Prostate Cancer (FFPE)",TENX174,TENX174.tif,Prostate,Cancer,PRAD,Homo sapiens,,Visium HD,2025-06-10,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-prostate-cancer-ffpe,2.0,2.0,2385,FFPE,18132,,0.264583333333333,0.273803518867898,40x,28288,24794,Prostate,,,v1_2_0
"Visium HD Spatial Gene Expression Library, Human Kidney (FFPE)",TENX173,TENX173.tif,Kidney,Healthy,,Homo sapiens,,Visium HD,2025-03-06,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-kidney-ffpe,2.0,2.0,2684,FFPE,18085,,0.264583333333333,0.273903889972517,40x,32674,43999,Kidney,,,v1_2_0
"Visium HD Spatial Gene Expression Library, Human Tonsil (Fresh Frozen), Ultima Sequencing",TENX172,TENX172.tif,Lymphoid,Healthy,,Homo sapiens,,Visium HD,2025-02-20,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-tonsil-ff-ultima,2.0,2.0,2352,Fresh Frozen,18085,,0.264583333333333,0.547794738298365,40x,15295,17452,Tonsil,,,v1_2_0
"Visium HD Spatial Gene Expression Libraries, Post-Xenium, Human Lung Cancer (FFPE)",TENX171,TENX171.tif,Lung,Cancer,LUAD,Homo sapiens,,Visium HD,2024-09-24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-post-xenium-expt,2.0,2.0,1774,FFPE,18085,,0.264583333333333,0.273696892898189,40x,26720,43270,Lung,,"Experiment 2, post-Xenium Prime 5K",v1_2_0
"Visium HD Spatial Gene Expression Libraries, Post-Xenium, Human Lung Cancer (FFPE)",TENX170,TENX170.tif,Lung,Cancer,LUAD,Homo sapiens,,Visium HD,2024-09-24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-post-xenium-expt,2.0,2.0,1877,FFPE,18085,,0.264583333333333,0.27381161527725,40x,25078,43266,Lung,,"Experiment 2, HD only (control)",v1_2_0
"Visium HD Spatial Gene Expression Libraries, Post-Xenium, Human Lung Cancer (FFPE)",TENX169,TENX169.tif,Lung,Cancer,LUAD,Homo sapiens,,Visium HD,2024-09-24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-post-xenium-expt,2.0,2.0,1897,FFPE,18085,,0.264583333333333,0.273687496942159,40x,25078,43448,Lung,,"Experiment 1, post-Xenium v1",v1_2_0
"Visium HD Spatial Gene Expression Libraries, Post-Xenium, Human Lung Cancer (FFPE)",TENX168,TENX168.tif,Lung,Cancer,LUAD,Homo sapiens,,Visium HD,2024-09-24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-post-xenium-expt,2.0,2.0,1952,FFPE,18085,,0.264583333333333,0.273755424119274,40x,25625,43630,Lung,,"Experiment 1, HD only (control)",v1_2_0
"Visium HD Spatial Gene Expression Library, Mouse Lung (Fresh Frozen)",TENX167,TENX167.tif,Lung,Healthy,,Mus musculus,,Visium HD,2024-09-17,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-mouse-lung-fresh-frozen,2.0,2.0,2486,Fresh Frozen,19059,,0.264583333333333,0.273769464129103,40x,38362,59538,Lung,,,v1_2_0
"Visium HD Spatial Gene Expression Library, Mouse Brain (Fresh Frozen)",TENX166,TENX166.tif,Brain,Healthy,,Mus musculus,,Visium HD,2024-09-17,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-mouse-brain-fresh-frozen,2.0,2.0,1905,Fresh Frozen,19059,,0.264583333333333,0.27371297260476,40x,32888,23041,Brain,,,v1_2_0
"Visium HD Spatial Gene Expression Library, Mouse Brain (Fixed Frozen)",TENX165,TENX165.tif,Brain,Healthy,,Mus musculus,,Visium HD,2024-09-17,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-mouse-brain-fixed-frozen,2.0,2.0,1817,Fixed Frozen,19059,,0.264583333333333,0.273715593755737,40x,25808,20667,Brain,,,v1_2_0
"Visium HD Spatial Gene Expression Library, Human Tonsil (Fresh Frozen)",TENX164,TENX164.tif,Lymphoid,Diseased,,Homo sapiens,,Visium HD,2024-09-17,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-tonsil-fresh-frozen,2.0,2.0,2809,Fresh Frozen,18085,,0.264583333333333,0.273735412347224,40x,65199,40732,Tonsil,Reactive Follicular Hyperplasia,,v1_2_0
"Visium HD Spatial Gene Expression Library, Human Lung Cancer (Fixed Frozen)",TENX163,TENX163.tif,Lung,Cancer,LUAD,Homo sapiens,,Visium HD,2024-09-17,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-fixed-frozen,2.0,2.0,2487,Fixed Frozen,18085,,0.264583333333333,0.273716933152281,40x,54639,29814,Lung,,,v1_2_0
"Visium HD Spatial Gene Expression Library, Human Breast Cancer (Fresh Frozen)",TENX162,TENX162.tif,Breast,Cancer,IDC,Homo sapiens,,Visium HD,2024-09-17,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-breast-cancer-fresh-frozen,2.0,2.0,2021,Fresh Frozen,18085,,0.264583333333333,0.273836697733682,40x,34009,25840,Breast,DCIS,,v1_2_0
"Visium HD Spatial Gene Expression Library, Human Breast Cancer (Fixed Frozen)",TENX161,TENX161.tif,Breast,Cancer,IDC,Homo sapiens,,Visium HD,2024-09-17,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-breast-cancer-fixed-frozen,2.0,2.0,2809,Fixed Frozen,18085,,0.264583333333333,0.273787250340856,40x,42052,38345,Breast,Invasive ductal carcinoma,,v1_2_0
Fresh Frozen Mouse Brain Hemisphere with 5K Mouse Pan Tissue and Pathways Panel,TENX159,TENX159.tif,Brain,Healthy,,Mus musculus,,Xenium,7/31/24,Creative Commons Attribution,,,,,3429,Fresh Frozen,13780,,0.273767831901952,0.274027071757373,40x,17051,24689,Brain,,,v1_1_0
FFPE Human Skin Primary Dermal Melanoma with 5K Human Pan Tissue and Pathways Panel,TENX158,TENX158.tif,Skin,Cancer,SKCM,Homo sapiens,,Xenium,7/31/24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-skin,,,2179,FFPE,10017,,0.273776930991814,0.273753681255925,40x,18669,35787,Skin,Primary Dermal Melanoma ,,v1_1_0
FFPE Human Prostate Adenocarcinoma with 5K Human Pan Tissue and Pathways Panel,TENX157,TENX157.tif,Prostate,Cancer,PRAD,Homo sapiens,,Xenium,7/31/24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-prostate,,,4427,FFPE,10006,,0.273771729296376,0.273741465304451,40x,25002,49976,Prostate,,,v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX156,TENX156.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 1,Visium HD,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,2.0,2.0,2179,FFPE,18085,,0.264583333333333,0.273802324565481,40x,71106,58791,Colon,Stage II-A ,"Visium HD, Sample P1 CRC",v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX155,TENX155.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 2,Visium HD,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,2.0,2.0,2281,FFPE,18085,,0.264583333333333,0.273874419926874,40x,75250,48740,Colon,,"Visium HD, Sample P2 CRC",v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX154,TENX154.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 5,Visium HD,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,2.0,2.0,2220,FFPE,18085,,0.264583333333333,0.273770509329827,40x,72897,64370,Colon,,"Visium HD, Sample P5 CRC",v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX153,TENX153.tif,Bowel,Healthy,,Homo sapiens,Patient 3,Visium HD,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,2.0,2.0,2018,FFPE,18085,,0.264583333333333,0.273906543053634,40x,80562,42537,Colon,Stage IV-A ,"Visium HD, Sample P3 NAT",v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX152,TENX152.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 2,Visium,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,100.0,55.0,4269,FFPE,18085,,0.264583333333333,0.273723960330269,40x,76190,49099,Colon,,"Visium CytAssist v2, Sample P2 CRC",v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX149,TENX149.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 1,Xenium,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,,,4009,FFPE,541,,0.273776818561148,0.274030888058221,40x,70534,60222,Colon,Stage II-A ,"Xenium In Situ, Sample P1 CRC",v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX148,TENX148.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 2,Xenium,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,,,4379,FFPE,541,,0.273776188951127,0.273760357163598,40x,75184,48582,Colon,,"Xenium In Situ, Sample P2 CRC",v1_1_0
