instance_id	sample_id	oncotree_code	n_spots_in_tls	st_technology	GC_score	Tfh_score	Plasma_score	HEV_score	Suppressive	Myeloid_supp	Cytotoxic	Neighbor_TGFB1	Neighbor_VEGFA	Neighbor_CD8A	Neighbor_tumor_fraction	Neighbor_myeloid_fraction	log_area_um2	circularity	convexity	Grad_GC	Grad_Tfh	Grad_Plasma	Grad_HEV	Grad_Suppressive	Grad_Myeloid_supp	Grad_Cytotoxic
MEND156_3	MEND156	PRAD	18	Visium	0.440049	0.033747	0.392407	0.527624	0.000000	0.089336	0.000000	0.096979	1.277787	0.031077	2.961585	0.362102	12.048108	0.048585	0.487793	-0.221857	-0.040420	-0.375182	-0.220620	0.000000	0.368374	0.000000
MEND156_4	MEND156	PRAD	36	Visium	0.036211	0.000000	0.628573	0.148867	0.000000	0.027944	0.000000	0.137237	2.044532	0.023356	2.478751	0.818501	12.743446	0.119323	0.662685	0.045837	0.000000	-0.254106	-0.024734	0.000000	-0.132964	0.000000
MEND156_5	MEND156	PRAD	46	Visium	0.274546	0.027290	0.470202	0.481947	0.046372	0.167771	0.070015	0.132449	1.531538	0.037100	2.591247	0.710404	13.023053	0.044233	0.403635	-0.027655	-0.017901	-0.171068	-0.386264	-0.038544	-0.028367	-0.025395
MEND156_6	MEND156	PRAD	71	Visium	0.811137	0.000000	2.638707	0.512916	0.142199	0.256158	0.273315	0.588672	2.086666	0.196072	4.254576	1.880680	13.383325	0.107826	0.661510	0.252824	0.000000	-0.490796	0.440145	-0.087735	-0.383967	0.050217
MEND156_7	MEND156	PRAD	16	Visium	0.294085	0.065977	1.068571	0.430559	0.172832	0.107645	0.107127	0.133729	4.604515	0.000000	3.210769	0.386672	11.691097	0.094927	0.503045	-0.502349	-0.219065	-0.727954	-0.082984	0.347111	-0.250996	-0.244199
MEND156_8	MEND156	PRAD	121	Visium	0.245566	0.014492	0.750543	0.305231	0.076063	0.096821	0.026215	0.405512	3.206971	0.125751	4.388192	1.277786	13.823444			-0.027223	0.048129	0.896855	0.252850	-0.002217	0.088370	0.071467
MEND156_9	MEND156	PRAD	95	Visium	0.354746	0.000000	1.433460	0.465424	0.104709	0.129384	0.118159	0.405512	3.206971	0.125751	4.388192	1.277786	13.609201			-0.084988	0.000000	-0.158807	0.142673	0.083697	0.092005	0.002624
MEND157_0	MEND157	PRAD	6	Visium	0.000000	0.000000	1.517151	0.399340	0.000000	0.161463	0.000000	0.282877	4.444253	0.105090	3.061916	0.602384	11.213346	0.109884	0.470251	0.000000	0.000000	-1.478820	-0.350556	0.000000	0.222125	0.000000
MEND157_1	MEND157	PRAD	8	Visium	0.225703	0.097792	1.724298	0.000000	0.000000	0.280751	0.363403	0.483852	6.604980	0.201018	5.065619	0.924499	11.140252	0.235726	0.683196	-0.840894	-0.033155	-1.614200	0.000000	0.000000	-0.506012	-1.389378
MEND157_2	MEND157	PRAD	13	Visium	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.870465	0.000000	0.245400	0.050464	11.592679	0.201714	0.703916	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MEND157_3	MEND157	PRAD	21	Visium	0.209091	0.000000	1.384365	0.264919	0.098612	0.069124	0.193141	0.327844	4.264693	0.076323	2.887870	0.495257	12.155700	0.060986	0.472125	-0.453627	0.000000	-0.032144	-0.012905	-0.021638	-0.094442	-0.022897
MEND157_4	MEND157	PRAD	8	Visium	0.142996	0.000000	1.158902	0.201327	0.000000	0.139585	0.449888	0.728402	2.397955	0.145548	2.196026	1.317131	10.914670	0.382482	0.736154	0.659023	0.000000	0.616330	-0.911636	0.000000	0.206513	-0.410165
MEND158_0	MEND158	PRAD	8	Visium	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.095844	0.000000	0.197594	0.071244	11.172138	0.286213	0.737430	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MEND158_1	MEND158	PRAD	8	Visium	0.000000	0.000000	0.636240	0.308823	0.131091	0.000000	0.000000	0.468154	3.188149	0.153654	4.724835	0.552069	11.057881	0.060986	0.318244	0.000000	0.000000	1.002943	0.485422	0.308110	0.000000	0.000000
MEND159_0	MEND159	PRAD	22	Visium	0.000000	0.000000	0.000000	0.200673	0.000000	0.000000	0.000000	0.229207	0.113381	0.000000	2.221563	0.251695	12.020123	0.050221	0.580584	0.000000	0.000000	0.000000	-0.047225	0.000000	0.000000	0.000000
MEND159_1	MEND159	PRAD	15	Visium	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.180019	0.510319	0.000000	1.711319	0.612644	11.595436	0.208280	0.760132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MEND159_10	MEND159	PRAD	34	Visium	0.106477	0.000000	0.000000	0.273311	0.000000	0.000000	0.000000	0.167879	0.385555	0.000000	2.334064	0.275895	13.491625			0.516781	0.000000	0.000000	0.453097	0.000000	0.000000	0.000000
MEND159_11	MEND159	PRAD	100	Visium	0.011751	0.000000	0.000000	0.114078	0.000000	0.007978	0.000000	0.167879	0.385555	0.000000	2.334064	0.275895	13.659686			0.005335	0.000000	0.000000	0.054692	0.000000	0.056603	0.000000
MEND159_12	MEND159	PRAD	75	Visium	0.100964	0.000000	0.046751	0.400968	0.011433	0.000000	0.000000	0.167879	0.385555	0.000000	2.334064	0.275895	13.356722			-0.051720	0.000000	0.084086	-0.448687	-0.017312	0.000000	0.000000
MEND159_13	MEND159	PRAD	40	Visium	0.203193	0.000000	0.256914	0.468450	0.022782	0.034514	0.050418	0.167879	0.385555	0.000000	2.334064	0.275895	12.873032			-0.150288	0.000000	0.037191	0.451187	0.230906	0.029049	0.047197
MEND159_14	MEND159	PRAD	78	Visium	0.042482	0.000000	0.076316	0.078174	0.043917	0.000000	0.000000	0.167879	0.385555	0.000000	2.334064	0.275895	13.364476			0.002100	0.000000	0.102438	-0.143919	-0.079858	0.000000	0.000000
MEND159_15	MEND159	PRAD	68	Visium	0.088724	0.000000	0.020471	0.073041	0.000000	0.000000	0.000000	0.167879	0.385555	0.000000	2.334064	0.275895	13.303860			-0.168243	0.000000	0.158203	0.004055	0.000000	0.000000	0.000000
MEND159_16	MEND159	PRAD	74	Visium	0.163322	0.000000	0.471975	0.428312	0.094049	0.177177	0.030251	0.167879	0.385555	0.000000	2.334064	0.275895	13.395569			-0.135372	0.000000	-0.215209	0.019011	0.045658	-0.033467	0.065200
MEND159_17	MEND159	PRAD	22	Visium	0.065324	0.000000	0.000000	0.123950	0.000000	0.000000	0.000000	0.167879	0.385555	0.000000	2.334064	0.275895	12.292897			-0.265928	0.000000	0.000000	-0.267321	0.000000	0.000000	0.000000
MEND159_18	MEND159	PRAD	36	Visium	0.000000	0.000000	0.036833	0.153337	0.000000	0.000000	0.033347	0.167879	0.385555	0.000000	2.334064	0.275895	12.870761			0.000000	0.000000	0.134817	0.404028	0.000000	0.000000	0.178596
MEND159_19	MEND159	PRAD	29	Visium	0.085314	0.000000	0.029474	0.108655	0.000000	0.000000	0.000000	0.167879	0.385555	0.000000	2.334064	0.275895	12.538053			-0.118909	0.000000	0.092639	-0.092725	0.000000	0.000000	0.000000
MEND159_2	MEND159	PRAD	72	Visium	0.049046	0.021540	0.000000	0.065700	0.017957	0.019258	0.000000	0.098432	0.406859	0.031083	1.797048	0.219503	13.318129	0.042768	0.596223	-0.028629	0.060650	0.000000	0.059113	-0.054737	-0.026990	0.000000
MEND159_20	MEND159	PRAD	26	Visium	0.112503	0.000000	0.000000	0.245765	0.042830	0.000000	0.000000	0.118374	0.209303	0.000000	2.033632	0.149362	12.286320	0.050000	0.514861	0.152565	0.000000	0.000000	0.361987	-0.102355	0.000000	0.000000
MEND159_3	MEND159	PRAD	40	Visium	0.069928	0.000000	0.090932	0.350696	0.036733	0.048239	0.030291	0.254675	0.482263	0.000000	2.889994	0.508643	12.799988	0.062871	0.577540	-0.042145	0.000000	0.167255	-0.095873	-0.024242	-0.006009	-0.060192
MEND159_4	MEND159	PRAD	152	Visium	0.056470	0.005418	0.133238	0.182596	0.018878	0.020375	0.000000	0.167879	0.385555	0.000000	2.334064	0.275895	14.103222			0.049235	-0.002162	-0.168339	0.111733	0.044850	-0.034479	0.000000
MEND159_5	MEND159	PRAD	108	Visium	0.029816	0.000000	0.031844	0.219255	0.028260	0.019605	0.010619	0.167879	0.385555	0.000000	2.334064	0.275895	13.859000			0.079725	0.000000	0.134713	0.298396	-0.024411	0.007122	0.002536
MEND159_6	MEND159	PRAD	70	Visium	0.056816	0.000000	0.059716	0.393382	0.000000	0.010384	0.000000	0.167879	0.385555	0.000000	2.334064	0.275895	13.821498			0.096624	0.000000	0.075402	0.188805	0.000000	0.035037	0.000000
MEND159_7	MEND159	PRAD	87	Visium	0.087085	0.000000	0.100113	0.248862	0.008681	0.032049	0.009847	0.167879	0.385555	0.000000	2.334064	0.275895	13.509237			-0.083859	0.000000	-0.132121	-0.110297	0.040798	-0.008047	-0.032106
MEND159_8	MEND159	PRAD	65	Visium	0.094479	0.000000	0.075578	0.377570	0.039997	0.000000	0.000000	0.167879	0.385555	0.000000	2.334064	0.275895	13.270930			0.045382	0.000000	0.148963	0.252227	-0.023675	0.000000	0.000000
MEND159_9	MEND159	PRAD	40	Visium	0.024457	0.000000	0.023515	0.600348	0.051412	0.000000	0.000000	0.167879	0.385555	0.000000	2.334064	0.275895	13.250751			0.094079	0.000000	-0.174095	0.388195	-0.140960	0.000000	0.000000
MEND160_0	MEND160	PRAD	1	Visium	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.055949	0.000000	2.980760	0.255001	11.575722	0.171801	0.710208							
MEND160_1	MEND160	PRAD	17	Visium	0.000000	0.000000	0.146226	0.000000	0.000000	0.000000	0.000000	0.000000	0.277484	0.000000	0.084603	0.070115	11.858563	0.197625	0.664397	0.000000	0.000000	-0.123906	0.000000	0.000000	0.000000	0.000000
MEND160_2	MEND160	PRAD	8	Visium	0.153751	0.000000	0.840808	0.193408	0.000000	0.157428	0.000000	0.125714	1.866860	0.071811	3.156913	0.743581	11.495179	0.138081	0.640651	-0.689938	0.000000	1.513459	0.585307	0.000000	0.321815	0.000000
MEND160_3	MEND160	PRAD	17	Visium	0.213238	0.000000	1.621382	0.182610	0.055346	0.000000	0.055346	0.122090	0.843790	0.060123	2.822110	0.535263	11.909289	0.126229	0.621821	-0.302326	0.000000	0.609347	0.124186	-0.075859	0.000000	-0.075859
MEND160_4	MEND160	PRAD	8	Visium	0.278488	0.000000	1.006726	0.549950	0.165114	0.161472	0.165560	0.180395	0.419220	0.000000	2.398069	0.464616	10.924373	0.214213	0.543681	-0.238977	0.000000	-0.015340	-1.102144	-0.039364	-0.642738	-0.039983
MEND160_5	MEND160	PRAD	11	Visium	0.000000	0.000000	0.115185	0.000000	0.000000	0.000000	0.000000	0.195530	0.447007	0.000000	2.485276	0.262470	11.331416	0.142894	0.566545	0.000000	0.000000	0.144768	0.000000	0.000000	0.000000	0.000000
MEND160_6	MEND160	PRAD	7	Visium	0.144276	0.000000	0.295904	0.238866	0.000000	0.000000	0.000000	0.000000	0.919027	0.000000	2.999306	0.197282	10.939550	0.183171	0.637675	-0.416956	0.000000	0.383495	-0.462752	0.000000	0.000000	0.000000
MEND160_7	MEND160	PRAD	15	Visium	0.305833	0.000000	0.572596	0.510725	0.000000	0.070825	0.075742	0.346485	1.756508	0.068587	2.706198	1.152697	11.555995	0.069131	0.497662	-0.232133	0.000000	-1.043965	0.018573	0.000000	-0.134562	-0.314693
MEND160_8	MEND160	PRAD	79	Visium	0.089247	0.000000	1.234707	0.287581	0.060348	0.093014	0.042768	0.290391	0.908470	0.026676	2.620682	0.795421	13.421902	0.047147	0.439202	-0.052151	0.000000	-0.353540	-0.026440	-0.066710	-0.076234	-0.066924
MEND161_0	MEND161	PRAD	6	Visium	0.628685	0.000000	1.762492	0.861462	0.114580	0.114580	0.428542	1.146733	5.967783	0.293956	4.963655	1.107136	10.859057	0.277071	0.750563	0.423165	0.000000	3.021582	0.055720	0.038525	0.038525	0.138047
MEND161_1	MEND161	PRAD	6	Visium	0.263251	0.158524	1.788683	0.836826	0.118941	0.296766	0.755951	1.037816	5.207464	0.451692	4.210582	1.196273	11.602373	0.148178	0.606866	0.380266	-0.546840	-1.774049	1.226312	0.551100	-0.673362	-2.257353
MEND37_0	MEND37	SKCM	8	Visium	0.316927	0.000000	1.343914	0.199265	0.325390	0.477944	0.000000	1.575966	1.293205	0.081177	0.186891	1.811758	10.998376	0.190603	0.634349	0.684297	0.000000	0.727123	-0.934170	-0.596814	0.039248	0.000000
MEND39_0	MEND39	SKCM	6	Visium	1.188583	0.177897	2.034792	0.449859	0.212423	0.748395	0.000000	1.520872	2.696460	0.235579	0.299744	2.150674	10.950543	0.232075	0.635982	-0.294502	0.764719	-0.298850	0.133932	-0.767533	0.850497	0.000000
MEND61_1	MEND61	PRAD	5	Visium	0.352941	0.000000	0.634054	0.683707	0.000000	0.000000	0.357676	0.520499	2.117189	0.067633	4.454139	0.723982	10.732410	0.369779	0.788409	0.554737	0.000000	-0.275192	-0.532494	0.000000	0.000000	-0.264430
MEND61_2	MEND61	PRAD	6	Visium	0.647789	0.000000	0.150336	0.762277	0.000000	0.000000	0.151378	0.122793	2.083879	0.000000	4.636689	0.267201	10.713551	0.321986	0.713107	1.094635	0.000000	-0.197400	-0.562034	0.000000	0.000000	-0.692812
MEND61_3	MEND61	PRAD	19	Visium	0.178629	0.050511	0.699358	0.565589	0.108313	0.048220	0.061048	0.440986	2.364403	0.000000	4.166318	0.545956	13.034627	0.056538	0.496824	-0.015366	0.100001	1.466975	-0.046988	0.423090	-0.349809	0.167410
MEND63_0	MEND63	GBM	6	Visium	2.444582	0.682562	0.114702	0.000000	0.618536	0.000000	0.000000	1.225715	2.791364	0.037257	0.779873	1.008020	10.930264	0.090111	0.433756	0.164522	-0.230508	0.269803	0.000000	-0.146337	0.000000	0.000000
MISC19_4	MISC19	LUAD	6	Visium	0.000000	0.000000	3.153188	0.306121	0.000000	0.272463	0.000000	0.000000	0.257606	0.465825	0.596725	1.663920	10.819158	0.105100	0.548424	0.000000	0.000000	-0.738495	0.921693	0.000000	-1.770851	0.000000
MISC26_2	MISC26	LUSC	20	Visium	0.183856	0.000000	5.508048	1.158838	0.117730	0.329811	0.131196	1.064034	0.552309	0.104663	1.865113	3.131933	12.147219	0.043111	0.454092	-0.035498	0.000000	0.251975	0.722287	0.158824	0.400159	0.104913
MISC26_3	MISC26	LUSC	9	Visium	1.033479	0.000000	6.986181	1.727053	0.111851	0.202657	0.294864	1.119091	1.542716	0.141718	4.236478	3.870287	11.331991	0.098854	0.556528	-0.193829	0.000000	-1.265450	-0.443028	-0.021435	-0.147967	0.147276
MISC29_0	MISC29	LUSC	4	Visium	0.582492	0.000000	3.055268	0.822190	0.000000	0.000000	0.000000	0.000000	1.122540	0.000000	3.169900	1.312424	11.284078	0.215843	0.689672	1.237254	0.000000	-0.008529	1.733773	0.000000	0.000000	0.000000
MISC29_1	MISC29	LUSC	14	Visium	0.000000	0.000000	2.711898	0.000000	0.000000	0.000000	0.000000	0.099626	0.526086	0.000000	1.909863	1.450578	11.981685	0.156577	0.619822	0.000000	0.000000	0.184821	0.000000	0.000000	0.000000	0.000000
MISC29_2	MISC29	LUSC	1	Visium	0.000000	0.000000	1.711121	0.000000	0.000000	0.000000	0.000000	0.000000	0.765700	0.000000	2.666173	1.483306	11.827510	0.128661	0.521187							
MISC29_3	MISC29	LUSC	115	Visium	0.329759	0.011346	5.114847	0.366001	0.023470	0.011392	0.010567	0.168121	1.587747	0.025950	3.185574	1.495962	13.804479			-0.066801	-0.002362	-1.478418	-0.062225	-0.036716	0.041431	0.025983
MISC29_4	MISC29	LUSC	30	Visium	0.384019	0.000000	4.121006	0.305771	0.000000	0.000000	0.044114	0.168121	1.587747	0.025950	3.185574	1.495962	12.526172			-0.419004	0.000000	0.001587	-0.422142	0.000000	0.000000	-0.146492
MISC29_5	MISC29	LUSC	14	Visium	0.079204	0.000000	2.689495	0.487611	0.000000	0.000000	0.000000	0.160479	2.243911	0.000000	4.081395	1.456688	11.579247	0.237812	0.658987	-0.396372	0.000000	0.285370	0.095542	0.000000	0.000000	0.000000
MISC29_7	MISC29	LUSC	6	Visium	0.428257	0.000000	3.462681	0.749388	0.160494	0.160494	0.000000	0.184243	1.225580	0.090698	0.963778	1.264087	10.767579	0.262773	0.774716	0.098837	0.000000	2.573528	0.441746	0.472214	0.472214	0.000000
MISC32_0	MISC32	LUSC	18	Visium	0.383536	0.000000	2.875489	1.514496	0.155203	0.082270	0.000000	0.238020	0.565573	0.000000	0.971189	2.145181	11.994469	0.162462	0.626533	-0.641293	0.000000	-1.232992	0.136311	-0.068173	-0.042786	0.000000
NCBI571_0	NCBI571	PAAD	42	Visium	1.611062	0.600495	6.284651	4.604008	0.971711	0.969603	1.728758	3.951041	1.776841	2.372985	3.909271	4.380521	12.790768	0.043201	0.377955	0.181238	-0.224056	-0.066161	0.482229	0.116424	-0.037344	-0.028193
NCBI571_1	NCBI571	PAAD	16	Visium	1.429249	0.091496	6.705568	2.781429	0.750305	0.562313	0.826866	4.098598	2.849099	1.786960	5.153463	4.050198	11.668638	0.137171	0.583330	0.462211	0.134090	0.581643	-0.163541	0.073109	0.068485	0.098202
NCBI571_2	NCBI571	PAAD	3	Visium	0.000000	0.000000	3.476476	0.509110	0.000000	0.000000	0.000000	1.900612	1.586481	0.504417	5.144462	3.037067	12.279365	0.139825	0.608964	0.000000	0.000000	12.358381	3.627832	0.000000	0.000000	0.000000
NCBI572_0	NCBI572	PAAD	10	Visium	0.833448	0.000000	3.036731	1.294436	0.658661	0.154431	0.299487	3.389224	2.027856	0.312818	6.001684	3.064669	10.923652	0.167946	0.578460	-0.307183	0.000000	0.904842	-0.431707	0.295743	-0.355524	-0.182865
NCBI572_1	NCBI572	PAAD	14	Visium	0.742935	0.067175	4.464082	0.867297	0.973710	0.458510	0.471193	3.405794	2.027723	0.471822	5.786344	3.397208	11.849176	0.071472	0.549670	-0.190003	-0.131314	-0.691819	-0.171266	-0.165245	-0.084590	-0.265849
NCBI572_2	NCBI572	PAAD	36	Visium	1.251577	0.075736	3.852820	1.709673	0.881873	0.394406	0.504611	3.247454	2.647326	0.356337	5.984674	3.174401	12.630821	0.123747	0.706759	-0.327150	0.029840	-1.292575	-0.771849	0.297928	-0.081722	-0.042801
NCBI572_3	NCBI572	PAAD	11	Visium	1.256044	0.000000	3.996953	2.152673	0.915038	0.512867	0.332544	4.256332	2.703943	0.529186	5.418771	3.530002	11.453526	0.172119	0.652323	0.150302	0.000000	-0.871032	0.572347	-0.568889	-0.227606	-1.005749
NCBI572_4	NCBI572	PAAD	14	Visium	1.021360	0.000000	4.242328	1.734530	0.829738	0.479370	0.392846	3.176306	2.533892	0.641350	5.646721	3.345813	11.778615	0.233626	0.733159	0.036059	0.000000	0.378398	0.272525	0.402024	0.415961	0.510423
NCBI628_0	NCBI628	EPM	24	Visium	0.139090	0.000000	0.000000	0.214052	0.121433	0.098321	0.046760	0.649722	0.603014	0.268313	0.615909	1.111652	12.389797	0.060789	0.539690	0.251616	0.000000	0.000000	-0.052673	-0.008203	-0.019858	-0.049491
NCBI628_2	NCBI628	EPM	35	Visium	0.431053	0.000000	0.027219	0.310211	0.053511	0.027219	0.027095	0.392261	0.553187	0.149864	0.422780	1.042610	13.411401	0.024810	0.457611	0.663810	0.000000	-0.058158	0.566550	0.177220	-0.058158	0.025300
