instance_id	sample_id	oncotree_code	n_spots_in_tls	st_technology	GC_score	Tfh_score	Plasma_score	HEV_score	Suppressive	Myeloid_supp	Cytotoxic	Neighbor_TGFB1	Neighbor_VEGFA	Neighbor_CD8A	Neighbor_tumor_fraction	Neighbor_myeloid_fraction
MEND154_3	MEND154	PRAD	9	Visium	1.070491	-0.328064	-0.071714	0.570524	-0.858848	0.271567	-0.444140	-1.220781	2.516462	-0.157713	0.446581	-1.139010
MEND154_5	MEND154	PRAD	4	Visium	-0.765246	-0.552123	-0.788745	0.644856	-1.059578	-0.420164	-0.634410	-1.149355	-0.324181	-0.315244	-0.766005	-0.834815
MEND154_6	MEND154	PRAD	8	Visium	-0.256949	-0.552123	-0.623963	0.018758	-0.815521	-0.420164	-0.634410	-1.150113	3.259289	-0.672897	0.508385	-1.297000
MEND154_7	MEND154	PRAD	11	Visium	0.889726	-0.266752	0.000737	1.031696	-0.184319	1.214703	-0.046871	-0.880527	2.420005	0.346221	-0.436640	-0.358117
MEND154_8	MEND154	PRAD	10	Visium	-0.473602	-0.552123	-0.508336	0.020869	-1.059578	-0.420164	-0.439042	-1.293860	0.976652	-0.525972	-0.666245	-1.300340
MEND156_0	MEND156	PRAD	6	Visium	-0.765246	-0.552123	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	-1.518929	-0.655306	-0.672897	-1.742843	-1.643323
MEND156_1	MEND156	PRAD	12	Visium	-0.765246	-0.552123	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	-1.461795	-0.584702	-0.672897	-1.818995	-1.417440
MEND156_10	MEND156	PRAD	24	Visium	0.253631	-0.552123	-0.157368	-0.353345	-0.887243	-0.183575	-0.536024	-1.231486	0.929461	-0.347117	0.116348	-0.807722
MEND156_11	MEND156	PRAD	22	Visium	1.541400	-0.552123	-0.323536	0.614045	-0.514814	0.201622	0.668366	-1.231486	0.929461	-0.347117	0.116348	-0.807722
MEND156_12	MEND156	PRAD	17	Visium	-0.287321	-0.552123	0.229664	-0.069282	-0.862634	-0.281429	-0.253357	-1.231486	0.929461	-0.347117	0.116348	-0.807722
MEND156_13	MEND156	PRAD	13	Visium	0.463177	-0.552123	-0.042725	0.078882	-0.930775	0.408095	0.076911	-1.231486	0.929461	-0.347117	0.116348	-0.807722
MEND156_14	MEND156	PRAD	5	Visium	0.073421	-0.552123	-0.240799	0.014846	-1.059578	-0.420164	-0.634410	-1.287877	1.990324	-0.672897	-0.451349	-1.143107
MEND156_15	MEND156	PRAD	12	Visium	0.883220	-0.366909	-0.375379	0.578865	-0.256356	0.048591	-0.263107	-0.991991	0.519324	-0.452752	-1.034746	0.242249
MEND156_16	MEND156	PRAD	6	Visium	-0.765246	-0.552123	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	-1.531648	-1.184232	-0.672897	-2.558182	-1.754672
MEND156_17	MEND156	PRAD	31	Visium	-0.109128	-0.552123	0.270463	0.396353	-0.921522	0.284976	-0.227517	-1.215003	2.656427	-0.432576	0.401792	-0.913207
MEND156_19	MEND156	PRAD	7	Visium	-0.765246	-0.552123	-0.699736	-0.490435	-0.756798	-0.420164	-0.634410	-1.402952	1.431432	-0.672897	-0.975446	-1.419320
MEND156_2	MEND156	PRAD	16	Visium	-0.765246	-0.552123	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	-1.531648	-1.105197	-0.672897	-2.532443	-1.728903
MEND156_21	MEND156	PRAD	7	Visium	-0.459384	-0.552123	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	-1.290496	3.248502	-0.426506	0.037815	-1.236786
MEND156_23	MEND156	PRAD	40	Visium	0.586627	-0.386393	0.131600	-0.141574	-0.863266	0.100920	-0.362679	-1.262143	2.775699	-0.384868	-0.100706	-0.716642
MEND156_3	MEND156	PRAD	18	Visium	0.309796	-0.460809	-0.741264	0.181585	-1.059578	-0.151337	-0.634410	-1.459863	-0.342051	-0.592387	-0.766804	-1.486323
MEND156_4	MEND156	PRAD	36	Visium	-0.676782	-0.552123	-0.632904	-0.516916	-1.059578	-0.336076	-0.634410	-1.430064	0.163305	-0.612389	-1.065707	-1.148092
MEND156_5	MEND156	PRAD	46	Visium	-0.094529	-0.478281	-0.705570	0.097348	-0.955636	0.084686	-0.485650	-1.433608	-0.174806	-0.576783	-0.996065	-1.228201
MEND156_6	MEND156	PRAD	71	Visium	1.216365	-0.552123	0.289404	0.154461	-0.740841	0.350657	-0.053700	-1.095910	0.191075	-0.164938	0.033632	-0.360925
MEND156_7	MEND156	PRAD	16	Visium	-0.046795	-0.373600	-0.431020	0.002579	-0.672178	-0.096243	-0.406798	-1.432661	1.850572	-0.672897	-0.612545	-1.468114
MEND156_8	MEND156	PRAD	121	Visium	-0.165327	-0.512910	-0.576941	-0.228550	-0.889084	-0.128814	-0.578711	-1.231486	0.929461	-0.347117	0.116348	-0.807722
MEND156_9	MEND156	PRAD	95	Visium	0.101400	-0.552123	-0.263599	0.066877	-0.824874	-0.030827	-0.383359	-1.231486	0.929461	-0.347117	0.116348	-0.807722
MEND157_0	MEND157	PRAD	6	Visium	-0.765246	-0.552123	-0.225199	-0.054995	-1.059578	0.065704	-0.634410	-1.322261	1.744945	-0.400643	-0.704694	-1.308253
MEND157_1	MEND157	PRAD	8	Visium	-0.213852	-0.287514	-0.130154	-0.791455	-1.059578	0.424661	0.137709	-1.173498	3.169065	-0.152124	0.535714	-1.069538
MEND157_2	MEND157	PRAD	13	Visium	-0.765246	-0.552123	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	-1.531648	-0.610514	-0.672897	-2.448280	-1.717273
MEND157_3	MEND157	PRAD	21	Visium	-0.254435	-0.552123	-0.286125	-0.302893	-0.838541	-0.212159	-0.224045	-1.288976	1.626598	-0.475169	-0.812438	-1.387643
MEND157_4	MEND157	PRAD	8	Visium	-0.415906	-0.552123	-0.389574	-0.420169	-1.059578	-0.000130	0.321463	-0.992481	0.396244	-0.295829	-1.240730	-0.778564
MEND158_0	MEND158	PRAD	8	Visium	-0.765246	-0.552123	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	-1.531648	-1.121062	-0.672897	-2.477875	-1.701874
MEND158_1	MEND158	PRAD	8	Visium	-0.765246	-0.552123	-0.629386	-0.221926	-0.765739	-0.420164	-0.634410	-1.185118	0.917055	-0.274829	0.324749	-1.345541
MEND159_0	MEND159	PRAD	22	Visium	-0.765246	-0.552123	-0.921312	-0.421375	-1.059578	-0.420164	-0.634410	-1.361988	-1.109503	-0.672897	-1.224921	-1.568144
MEND159_1	MEND159	PRAD	15	Visium	-0.765246	-0.552123	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	-1.398397	-0.847884	-0.672897	-1.540792	-1.300650
MEND159_10	MEND159	PRAD	34	Visium	-0.505122	-0.552123	-0.921312	-0.287417	-1.059578	-0.420164	-0.634410	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_11	MEND159	PRAD	100	Visium	-0.736538	-0.552123	-0.921312	-0.581073	-1.059578	-0.396157	-0.634410	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_12	MEND159	PRAD	75	Visium	-0.518590	-0.552123	-0.899861	-0.051993	-1.033951	-0.420164	-0.634410	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_13	MEND159	PRAD	40	Visium	-0.268844	-0.552123	-0.803432	0.072457	-1.008512	-0.316306	-0.527287	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_14	MEND159	PRAD	78	Visium	-0.661462	-0.552123	-0.886296	-0.647287	-0.961138	-0.420164	-0.634410	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_15	MEND159	PRAD	68	Visium	-0.548493	-0.552123	-0.911919	-0.656753	-1.059578	-0.420164	-0.634410	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_16	MEND159	PRAD	74	Visium	-0.366249	-0.552123	-0.704756	-0.001565	-0.848768	0.112990	-0.570136	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_17	MEND159	PRAD	22	Visium	-0.605659	-0.552123	-0.921312	-0.562867	-1.059578	-0.420164	-0.634410	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_18	MEND159	PRAD	36	Visium	-0.765246	-0.552123	-0.904412	-0.508672	-1.059578	-0.420164	-0.563558	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_19	MEND159	PRAD	29	Visium	-0.556823	-0.552123	-0.907788	-0.591074	-1.059578	-0.420164	-0.634410	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_2	MEND159	PRAD	72	Visium	-0.645426	-0.493839	-0.921312	-0.670292	-1.019327	-0.362213	-0.634410	-1.458788	-0.916074	-0.592371	-1.487720	-1.592001
MEND159_20	MEND159	PRAD	26	Visium	-0.490400	-0.552123	-0.921312	-0.338217	-0.963575	-0.420164	-0.634410	-1.444027	-1.046282	-0.672897	-1.341261	-1.643982
MEND159_3	MEND159	PRAD	40	Visium	-0.594411	-0.552123	-0.879590	-0.144704	-0.977241	-0.275005	-0.570051	-1.343136	-0.866376	-0.672897	-0.811123	-1.377723
MEND159_4	MEND159	PRAD	152	Visium	-0.627289	-0.537463	-0.860178	-0.454713	-1.017263	-0.358852	-0.634410	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_5	MEND159	PRAD	108	Visium	-0.692405	-0.552123	-0.906701	-0.387107	-0.996233	-0.361169	-0.611848	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_6	MEND159	PRAD	70	Visium	-0.626444	-0.552123	-0.893913	-0.065983	-1.059578	-0.388917	-0.634410	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_7	MEND159	PRAD	87	Visium	-0.552497	-0.552123	-0.875377	-0.332506	-1.040119	-0.323723	-0.613488	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_8	MEND159	PRAD	65	Visium	-0.534433	-0.552123	-0.886635	-0.095143	-0.969925	-0.420164	-0.634410	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND159_9	MEND159	PRAD	40	Visium	-0.705497	-0.552123	-0.910523	0.315702	-0.944338	-0.420164	-0.634410	-1.407383	-0.930115	-0.672897	-1.155276	-1.550210
MEND160_0	MEND160	PRAD	1	Visium	-0.765246	-0.552123	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	-1.531648	-0.488263	-0.672897	-0.754934	-1.565694
MEND160_1	MEND160	PRAD	17	Visium	-0.765246	-0.552123	-0.854219	-0.791455	-1.059578	-0.420164	-0.634410	-1.531648	-1.001344	-0.672897	-2.547823	-1.702710
MEND160_2	MEND160	PRAD	8	Visium	-0.389631	-0.552123	-0.535525	-0.434773	-1.059578	0.053562	-0.634410	-1.438594	0.046203	-0.486858	-0.645885	-1.203614
MEND160_3	MEND160	PRAD	17	Visium	-0.244304	-0.552123	-0.177374	-0.454687	-0.935521	-0.420164	-0.516817	-1.441276	-0.628096	-0.517138	-0.853148	-1.357996
MEND160_4	MEND160	PRAD	8	Visium	-0.084898	-0.552123	-0.459397	0.222759	-0.689477	0.065731	-0.282646	-1.398118	-0.907927	-0.672897	-1.115654	-1.410351
MEND160_5	MEND160	PRAD	11	Visium	-0.765246	-0.552123	-0.868462	-0.791455	-1.059578	-0.420164	-0.634410	-1.386915	-0.889613	-0.672897	-1.061667	-1.560159
MEND160_6	MEND160	PRAD	7	Visium	-0.412779	-0.552123	-0.785543	-0.350940	-1.059578	-0.420164	-0.634410	-1.531648	-0.578507	-0.672897	-0.743453	-1.608469
MEND160_7	MEND160	PRAD	15	Visium	-0.018094	-0.552123	-0.658588	0.150420	-1.059578	-0.207040	-0.473482	-1.275178	-0.026529	-0.495210	-0.924904	-0.900424
MEND160_8	MEND160	PRAD	79	Visium	-0.547215	-0.552123	-0.354792	-0.261100	-0.924309	-0.140270	-0.543541	-1.316699	-0.585466	-0.603788	-0.977843	-1.165196
MEND161_0	MEND161	PRAD	6	Visium	0.770634	-0.552123	-0.112629	0.797247	-0.802749	-0.075374	0.276109	-0.682830	2.749093	0.088648	0.472593	-0.934188
MEND161_1	MEND161	PRAD	6	Visium	-0.122122	-0.123184	-0.100612	0.751814	-0.792973	0.472852	0.971753	-0.763451	2.247972	0.497291	0.006397	-0.868130
MEND37_0	MEND37	SKCM	8	Visium	0.009008	-0.552123	-0.304685	-0.423972	-0.330222	1.018046	-0.634410	-0.365109	-0.331889	-0.462594	-2.484501	-0.412002
MEND39_0	MEND39	SKCM	6	Visium	2.138467	-0.070764	0.012310	0.038172	-0.583435	1.831876	-0.634410	-0.405890	0.592986	-0.062588	-2.414638	-0.160836
MEND61_1	MEND61	PRAD	5	Visium	0.096991	-0.552123	-0.630389	0.469433	-1.059578	-0.420164	0.125541	-1.146372	0.211193	-0.497682	0.157173	-1.218138
MEND61_2	MEND61	PRAD	6	Visium	0.817305	-0.552123	-0.852333	0.614331	-1.059578	-0.420164	-0.312778	-1.440756	0.189239	-0.672897	0.270182	-1.556653
MEND61_3	MEND61	PRAD	19	Visium	-0.328854	-0.415449	-0.600426	0.251600	-0.816796	-0.275062	-0.504702	-1.205228	0.374130	-0.672897	-0.021005	-1.350071
MEND63_0	MEND63	GBM	6	Visium	5.206878	1.294775	-0.868683	-0.791455	0.326860	-0.420164	-0.634410	-0.624367	0.655537	-0.576376	-2.117411	-1.007642
MISC19_4	MISC19	LUAD	6	Visium	-0.765246	-0.552123	0.525463	-0.226909	-1.059578	0.399721	-0.634410	-1.531648	-1.014446	0.533905	-2.230790	-0.521563
MISC26_2	MISC26	LUSC	20	Visium	-0.316085	-0.552123	1.605942	1.345666	-0.795688	0.572290	-0.355659	-0.744044	-0.820209	-0.401749	-1.445584	0.566361
MISC26_3	MISC26	LUSC	9	Visium	1.759548	-0.552123	2.284153	2.393564	-0.808866	0.189663	-0.007915	-0.703290	-0.167438	-0.305752	0.022428	1.113545
MISC29_0	MISC29	LUSC	4	Visium	0.657785	-0.552123	0.480534	0.724822	-1.059578	-0.420164	-0.634410	-1.531648	-0.444373	-0.672897	-0.637845	-0.782052
MISC29_1	MISC29	LUSC	14	Visium	-0.765246	-0.552123	0.322986	-0.791455	-1.059578	-0.420164	-0.634410	-1.457904	-0.837492	-0.672897	-1.417881	-0.679668
MISC29_2	MISC29	LUSC	1	Visium	-0.765246	-0.552123	-0.136200	-0.791455	-1.059578	-0.420164	-0.634410	-1.531648	-0.679564	-0.672897	-0.949682	-0.655414
MISC29_3	MISC29	LUSC	115	Visium	0.040357	-0.521422	1.425530	-0.116479	-1.006970	-0.385883	-0.611958	-1.407204	-0.137759	-0.605669	-0.628142	-0.646035
MISC29_4	MISC29	LUSC	30	Visium	0.172914	-0.552123	0.969526	-0.227554	-1.059578	-0.420164	-0.540681	-1.407204	-0.137759	-0.605669	-0.628142	-0.646035
MISC29_5	MISC29	LUSC	14	Visium	-0.571750	-0.552123	0.312707	0.107794	-1.059578	-0.420164	-0.634410	-1.412860	0.294715	-0.672897	-0.073577	-0.675140
MISC29_7	MISC29	LUSC	6	Visium	0.280988	-0.552123	0.667468	0.590561	-0.699833	0.062788	-0.634410	-1.395270	-0.376460	-0.437928	-2.003563	-0.817874
MISC32_0	MISC32	LUSC	18	Visium	0.171734	-0.552123	0.398047	2.001568	-0.711693	-0.172600	-0.634410	-1.355464	-0.811467	-0.672897	-1.998975	-0.164907
NCBI571_0	NCBI571	PAAD	42	Visium	3.170585	1.072716	1.962270	7.699224	1.118496	2.497526	3.038667	1.392935	-0.013128	5.474741	-0.180132	1.491673
NCBI571_1	NCBI571	PAAD	16	Visium	2.726415	-0.304550	2.155399	4.338037	0.622218	1.271926	1.122425	1.502157	0.693590	3.956539	0.590095	1.246875
NCBI571_2	NCBI571	PAAD	3	Visium	-0.765246	-0.552123	0.673797	0.147442	-1.059578	-0.420164	-0.634410	-0.124804	-0.138593	0.633884	0.584523	0.496057
NCBI572_0	NCBI572	PAAD	10	Visium	1.270871	-0.552123	0.472029	1.595735	0.416799	0.044544	0.001907	0.977074	0.152314	0.137513	1.115193	0.516513
NCBI572_1	NCBI572	PAAD	14	Visium	1.049748	-0.370359	1.126940	0.808008	1.122976	0.959566	0.366730	0.989340	0.152226	0.549441	0.981885	0.762953
NCBI572_2	NCBI572	PAAD	36	Visium	2.292362	-0.347194	0.846475	2.361512	0.917125	0.766667	0.437733	0.872136	0.560603	0.250257	1.104663	0.597834
NCBI572_3	NCBI572	PAAD	11	Visium	2.303275	-0.552123	0.912607	3.178489	0.991464	1.123135	0.072143	1.618913	0.597918	0.698053	0.754336	0.861365
NCBI572_4	NCBI572	PAAD	14	Visium	1.729941	-0.552123	1.025192	2.407353	0.800266	1.022337	0.200267	0.819471	0.485839	0.988634	0.895450	0.724865
NCBI628_0	NCBI628	EPM	24	Visium	-0.425448	-0.552123	-0.921312	-0.396702	-0.787388	-0.124300	-0.535059	-1.050720	-0.786789	0.022215	-2.218914	-0.930841
NCBI628_2	NCBI628	EPM	35	Visium	0.287819	-0.552123	-0.908823	-0.219366	-0.939634	-0.338257	-0.576841	-1.241294	-0.819630	-0.284648	-2.338472	-0.982008
NCBI628_4	NCBI628	EPM	3	Visium	-0.765246	-0.552123	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	-1.075472	-0.991053	-0.399845	-2.486155	-1.256039
NCBI629_0	NCBI629	EPM	6	Visium	1.498615	-0.552123	-0.921312	-0.791455	-0.614587	-0.420164	-0.634410	-1.047120	0.255077	1.274642	-2.580652	-1.004206
NCBI629_1	NCBI629	EPM	28	Visium	1.412052	-0.386088	-0.904562	-0.468862	-0.464733	-0.420164	-0.634410	-0.910065	0.195603	1.390761	-2.591553	-1.202473
NCBI629_10	NCBI629	EPM	60	Visium	1.576024	-0.425612	-0.906126	-0.543295	-0.778119	-0.375451	-0.598730	-0.862318	0.779102	0.917779	-2.592835	-1.171995
NCBI629_11	NCBI629	EPM	7	Visium	2.106613	0.141807	-0.921312	-0.791455	-0.774134	-0.052246	-0.634410	-0.862318	0.779102	0.917779	-2.592835	-1.171995
NCBI629_2	NCBI629	EPM	21	Visium	0.745210	-0.416728	-0.921312	-0.670777	-0.747173	-0.420164	-0.634410	-1.071557	0.324195	1.750443	-2.600197	-1.303060
NCBI629_3	NCBI629	EPM	6	Visium	2.768943	-0.121906	-0.921312	-0.444649	-0.737889	-0.420164	-0.634410	-0.951405	-0.396537	1.330740	-2.567343	-1.177993
NCBI629_4	NCBI629	EPM	4	Visium	1.675144	-0.552123	-0.921312	-0.791455	-0.616797	-0.420164	-0.634410	-0.921382	-0.112649	1.407129	-2.573663	-0.966625
NCBI629_6	NCBI629	EPM	8	Visium	2.859019	-0.552123	-0.921312	-0.535087	-0.810300	-0.420164	-0.398121	-0.931403	3.012156	-0.056438	-2.589847	-0.867928
NCBI629_7	NCBI629	EPM	124	Visium	1.207321	-0.374885	-0.921312	-0.441289	-0.710603	-0.393045	-0.529913	-0.862318	0.779102	0.917779	-2.592835	-1.171995
NCBI629_8	NCBI629	EPM	62	Visium	1.372429	-0.467330	-0.921312	-0.645010	-0.508973	-0.324506	-0.567140	-0.862318	0.779102	0.917779	-2.592835	-1.171995
NCBI629_9	NCBI629	EPM	68	Visium	1.026373	-0.475873	-0.921312	-0.687454	-0.721053	-0.333605	-0.563900	-0.862318	0.779102	0.917779	-2.592835	-1.171995
NCBI631_0	NCBI631	EPM	2	Visium	0.762160	-0.552123	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	-0.951248	1.780363	-0.672897	-2.600197	-0.886522
NCBI633_0	NCBI633	EPM	16	Visium	0.688940	0.102101	-0.921312	-0.111496	-0.661618	-0.420164	-0.634410	-1.201054	-0.793631	-0.241420	-2.500378	-0.912955
NCBI633_1	NCBI633	EPM	18	Visium	0.270444	0.108162	-0.893991	-0.791455	-0.787518	-0.420164	-0.634410	-1.375031	-0.948138	-0.285366	-2.592236	-1.179227
NCBI633_2	NCBI633	EPM	9	Visium	0.670347	-0.552123	-0.921312	-0.547983	-0.556486	-0.082184	-0.634410	-1.264863	-0.469367	-0.191702	-2.592849	-1.326831
NCBI633_3	NCBI633	EPM	9	Visium	0.624731	-0.285663	-0.921312	-0.489157	-1.059578	-0.420164	-0.634410	-1.531648	-1.035173	-0.485573	-2.576142	-1.379013
NCBI633_4	NCBI633	EPM	16	Visium	0.632492	-0.552123	-0.921312	-0.207368	-1.059578	-0.420164	-0.634410	-1.134814	-0.106329	0.405094	-2.594545	-1.095506
NCBI633_6	NCBI633	EPM	2	Visium	2.415226	-0.552123	-0.921312	-0.791455	-1.059578	0.964868	-0.634410	-1.209179	-0.027819	-0.672897	-2.600197	-1.086851
NCBI637_2	NCBI637	EPM	15	Visium	1.381808	-0.552123	-0.892166	-0.653733	-0.748821	-0.420164	-0.634410	-1.177337	-0.419934	-0.278267	-2.569180	-1.309790
NCBI637_3	NCBI637	EPM	3	Visium	-0.765246	-0.552123	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	-0.973904	1.147202	-0.672897	-2.589781	-0.656374
NCBI637_4	NCBI637	EPM	12	Visium	1.967025	-0.552123	-0.845624	-0.093843	-0.229023	-0.205641	-0.634410	-0.799174	-0.476675	0.022049	-2.573533	-0.786225
NCBI637_6	NCBI637	EPM	4	Visium	3.130366	-0.552123	-0.921312	-0.316081	-1.059578	-0.420164	-0.634410	-1.080377	0.428417	0.069920	-2.582811	-1.236381
NCBI637_7	NCBI637	EPM	15	Visium	2.130916	-0.093996	-0.776784	-0.148103	-0.489154	-0.253775	-0.634410	-0.860370	0.632746	0.275089	-2.528484	-0.305566
NCBI637_8	NCBI637	EPM	6	Visium	1.096450	-0.552123	-0.853951	0.579114	0.159137	-0.420164	-0.634410	-1.206374	1.045535	-0.497003	-2.578226	-0.593652
NCBI637_9	NCBI637	EPM	8	Visium	1.096834	-0.234648	-0.921312	0.280476	-0.796398	-0.066849	-0.634410	-0.898919	0.248062	-0.066500	-2.600197	-0.658352
NCBI638_1	NCBI638	EPM	5	Visium	0.371342	-0.552123	-0.645578	-0.791455	-0.595239	0.809917	-0.634410	-0.796092	-0.608083	-0.672897	-2.600197	-0.241589
NCBI638_2	NCBI638	EPM	30	Visium	0.722126	-0.552123	-0.853693	-0.273396	-0.893363	-0.321069	-0.634410	-1.128682	-0.387435	-0.672897	-2.584124	-0.800232
NCBI638_3	NCBI638	EPM	37	Visium	0.220868	-0.480673	-0.538084	-0.463943	-0.614605	-0.241239	-0.516634	-0.794326	-0.225828	-0.672897	-2.574096	-0.196893
NCBI641_0	NCBI641	EPM	17	Visium	4.191541	-0.552123	-0.921312	-0.446868	-0.113526	-0.258057	-0.072656	-0.602499	3.118069	-0.672897	-2.574306	-0.206503
NCBI855_0	NCBI855	BLCA	28	Visium	-0.106490	1.119930	2.560937	-0.084565	0.066061	2.106423	2.288356	-0.228275	-0.889386	2.415578	-2.353969	0.683789
NCBI855_1	NCBI855	BLCA	9	Visium	-0.363183	0.799887	1.959635	-0.392636	0.062437	1.100723	0.831667	-0.506010	-1.074180	1.693383	-2.439469	-0.522388
NCBI855_3	NCBI855	BLCA	2	Visium	2.230398	-0.552123	2.735235	1.739694	0.170994	3.447843	1.992163	-1.018095	-0.604839	-0.115516	-2.480962	-1.076702
SPA0_0	SPA0	IDC	1	Spatial Transcriptomics	-0.765246	-0.552123	-0.921312	-0.791455	2.125385	-0.420164	-0.634410	-1.144920	-1.184232	-0.672897	-0.236161	-1.459737
SPA100_0	SPA100	IDC	6	Spatial Transcriptomics	-0.765246	0.935349	-0.121011	2.481949	0.195906	0.092492	0.817547	0.447576	0.464872	-0.672897	0.874224	1.484282
SPA100_1	SPA100	IDC	2	Spatial Transcriptomics	-0.765246	-0.552123	-0.921312	0.526551	-1.059578	-0.420164	-0.634410	-1.339402	0.456431	0.119189	0.539293	0.889357
SPA100_10	SPA100	IDC	7	Spatial Transcriptomics	-0.405438	1.068273	-0.787056	0.976879	-0.687323	0.460331	0.303280	-0.770761	1.204135	1.057955	1.122732	1.008299
SPA100_11	SPA100	IDC	1	Spatial Transcriptomics	-0.765246	-0.552123	-0.921312	-0.791455	-1.059578	2.726454	-0.634410	-0.472464	1.949466	0.058521	1.167954	0.800408
SPA100_12	SPA100	IDC	7	Spatial Transcriptomics	-0.413145	0.249964	-0.562943	-0.108115	-0.431595	0.500149	0.289608	-0.554958	0.988918	1.231818	1.072584	1.482962
SPA100_13	SPA100	IDC	4	Spatial Transcriptomics	-0.121109	-0.552123	-0.560158	-0.791455	-1.059578	0.366990	-0.634410	-0.325635	1.644400	1.767272	1.198253	1.385744
SPA100_14	SPA100	IDC	6	Spatial Transcriptomics	-0.021644	-0.552123	-0.659453	0.397336	0.152735	0.093349	0.057725	-0.308079	1.369623	0.184454	1.119350	1.127418
SPA100_15	SPA100	IDC	1	Spatial Transcriptomics	-0.765246	-0.552123	-0.421951	1.717427	-1.059578	-0.420164	1.971596	1.009162	0.722339	0.212677	0.778099	1.699109
SPA100_16	SPA100	IDC	10	Spatial Transcriptomics	0.234918	0.794348	-0.373106	0.661894	1.310111	-0.144982	1.168537	-0.332636	1.215722	0.223500	1.018672	1.334492
SPA100_2	SPA100	IDC	2	Spatial Transcriptomics	-0.765246	-0.552123	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	-0.373237	0.422162	0.878861	0.697040	0.954961
SPA100_3	SPA100	IDC	1	Spatial Transcriptomics	-0.765246	2.418615	-0.921312	-0.791455	-1.059578	-0.420164	-0.634410	0.094240	0.632483	0.305327	0.937497	0.421827
