sample_id	oncotree_code	organ	tissue	st_technology	disease_state	priority_tier	exclude_reason	n_spots	n_spots_norm	nb_genes	inter_spot_dist	area_mm2	area_zscore	fullres_px_w	fullres_px_h	pixel_size_um
TENX188	TODO	Cervix	Cervix	Xenium 5k	Cancer	xenium		10924	10924.0	5001	100.0	133.7	1.88	38219	46545	0.2741
NCBI888		Lung	Lung	Xenium 5k	Healthy	xenium		22736	22736.0	10029	100.0	274.1	5.79	91799	47122	0.2517
NCBI887		Lung	Lung	Xenium 5k	Healthy	xenium		23044	23044.0	10029	100.0	273.1	5.76	91799	46959	0.2517
NCBI886		Lung	Lung	Xenium	Healthy	xenium		23411	23411.0	541	100.0	273.2	5.76	91799	46959	0.2517
NCBI885		Lung	Lung	Xenium	Healthy	xenium		23209	23209.0	541	100.0	262.2	5.46	89999	45984	0.2517
TENX186		Kidney	Kidney	Visium HD 3'	Healthy	visium_hd	spot_threshold_review_needed	1778	1.0	33696	2.0	39.4	-0.74	28181	18663	0.2737
TENX185	SOC	Ovary	Ovary	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	2068	1.0	18132	2.0	56.9	-0.25	24882	30496	0.2739
TENX184	SOC	Ovary	Ovary	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	2068	1.0	18132	2.0	56.9	-0.25	24882	30496	0.2739
TENX183	SOC	Ovary	Ovary	Visium HD 3'	Cancer	visium_hd	spot_threshold_review_needed	2113	1.0	38606	2.0	51.6	-0.4	25811	26686	0.2738
TENX182	SOC	Ovary	Ovary	Visium HD 3'	Cancer	visium_hd	spot_threshold_review_needed	2113	1.0	38606	2.0	51.6	-0.4	25811	26686	0.2738
TENX181		Brain	Brain	Visium HD 3'	Healthy	visium_hd	spot_threshold_review_needed	1574	1.0	33696	2.0	31.2	-0.97	21318	19514	0.2739
TENX180	IDC	Breast	Breast	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	2377	1.0	18085	2.0	70.0	0.11	16016	14625	0.5468
TENX179	PDAC	Pancreas	Pancreas	Visium HD 3'	Cancer	visium_hd	spot_threshold_review_needed	2164	1.0	38606	2.0	166.7	2.8	45702	48733	0.2736
TENX178		Lymphoid	Prelaryngeal lymph node	Visium HD	Healthy	visium_hd	spot_threshold_review_needed	1829	1.0	18132	2.0	55.3	-0.3	28248	26128	0.2738
TENX177	CCOV	Ovary	Ovary	Visium HD 3'	Cancer	visium_hd	spot_threshold_review_needed	1963	1.0	38606	2.0	332.2	7.4	83479	53112	0.2737
TENX176		Embryo	Embryo	Visium HD 3'	Healthy	visium_hd	spot_threshold_review_needed	2232	1.0	33696	2.0	140.1	2.06	48978	38147	0.2738
TENX175	COAD	Bowel	Colon	Visium HD 3'	Cancer/Genetically modified	visium_hd	spot_threshold_review_needed	2163	1.0	72302	2.0	59.7	-0.18	23070	34518	0.2737
TENX174	PRAD	Prostate	Prostate	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	2385	1.0	18132	2.0	52.6	-0.38	28288	24794	0.2738
TENX173		Kidney	Kidney	Visium HD	Healthy	visium_hd	spot_threshold_review_needed	2684	1.0	18085	2.0	107.9	1.16	32674	43999	0.2739
TENX172		Lymphoid	Tonsil	Visium HD	Healthy	visium_hd	spot_threshold_review_needed	2352	1.0	18085	2.0	80.1	0.39	15295	17452	0.5478
TENX171	LUAD	Lung	Lung	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	1774	1.0	18085	2.0	86.6	0.57	26720	43270	0.2737
TENX170	LUAD	Lung	Lung	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	1877	1.0	18085	2.0	81.3	0.42	25078	43266	0.2738
TENX169	LUAD	Lung	Lung	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	1897	1.0	18085	2.0	81.6	0.43	25078	43448	0.2737
TENX168	LUAD	Lung	Lung	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	1952	1.0	18085	2.0	83.8	0.49	25625	43630	0.2738
TENX167		Lung	Lung	Visium HD	Healthy	visium_hd	spot_threshold_review_needed	2486	1.0	19059	2.0	171.2	2.92	38362	59538	0.2738
TENX166		Brain	Brain	Visium HD	Healthy	visium_hd	spot_threshold_review_needed	1905	1.0	19059	2.0	56.8	-0.26	32888	23041	0.2737
TENX165		Brain	Brain	Visium HD	Healthy	visium_hd	spot_threshold_review_needed	1817	1.0	19059	2.0	40.0	-0.73	25808	20667	0.2737
TENX164		Lymphoid	Tonsil	Visium HD	Diseased	visium_hd	spot_threshold_review_needed	2809	1.0	18085	2.0	199.0	3.7	65199	40732	0.2737
TENX163	LUAD	Lung	Lung	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	2487	1.0	18085	2.0	122.0	1.56	54639	29814	0.2737
TENX162	IDC	Breast	Breast	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	2021	1.0	18085	2.0	65.9	-0.01	34009	25840	0.2738
TENX161	IDC	Breast	Breast	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	2809	1.0	18085	2.0	120.9	1.52	42052	38345	0.2738
TENX159		Brain	Brain	Xenium	Healthy	xenium		3429	3429.0	13780	100.0	31.6	-0.96	17051	24689	0.274
TENX158	SKCM	Skin	Skin	Xenium	Cancer	xenium		2179	2179.0	10017	100.0	50.1	-0.45	18669	35787	0.2738
TENX157	PRAD	Prostate	Prostate	Xenium	Cancer	xenium		4427	4427.0	10006	100.0	93.6	0.77	25002	49976	0.2737
TENX156	COAD	Bowel	Colon	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	2179	1.0	18085	2.0	313.4	6.88	71106	58791	0.2738
TENX155	COAD	Bowel	Colon	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	2281	1.0	18085	2.0	275.1	5.82	75250	48740	0.2739
TENX154	COAD	Bowel	Colon	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	2220	1.0	18085	2.0	351.7	7.95	72897	64370	0.2738
TENX153		Bowel	Colon	Visium HD	Healthy	visium_hd	spot_threshold_review_needed	2018	1.0	18085	2.0	257.1	5.31	80562	42537	0.2739
TENX152	COAD	Bowel	Colon	Visium	Cancer	inspect	large_slide(280mm2,z=6.0)	4269	4269.0	18085	100.0	280.3	5.96	76190	49099	0.2737
TENX149	COAD	Bowel	Colon	Xenium	Cancer	xenium		4009	4009.0	541	100.0	319.0	7.04	70534	60222	0.274
TENX148	COAD	Bowel	Colon	Xenium	Cancer	xenium		4379	4379.0	541	100.0	273.7	5.78	75184	48582	0.2738
TENX147	COAD	Bowel	Colon	Xenium	Cancer	xenium		3997	3997.0	541	100.0	293.5	6.33	71082	66226	0.2497
TENX146		Kidney	Kidney	Visium HD	Healthy	visium_hd	spot_threshold_review_needed	2098	1.0	19059	2.0	62.2	-0.11	26720	31062	0.2739
TENX145		Embryo	Embryo	Visium HD	Healthy	visium_hd	spot_threshold_review_needed	1732	1.0	19059	2.0	51.4	-0.41	27634	24834	0.2738
TENX144		Pancreas	Pancreas	Visium HD	Healthy	visium_hd	spot_threshold_review_needed	1848	1.0	18085	2.0	199.2	3.71	51701	51420	0.2738
TENX143		Lymphoid	Lymph node (Left Axilla)	Xenium	Diseased	xenium		4889	4889.0	11094	100.0	67.2	0.03	28915	30987	0.274
ZEN81	MEL	Skin	Skin	Visium	Cancer	high		4991	4991.0	68886	100.0	62.8	-0.09	35392	36416	0.2208
ZEN80	MEL	Skin	Skin	Visium	Cancer	high		4992	4992.0	68886	100.0	64.8	-0.03	36096	36992	0.2204
ZEN79	MEL	Skin	Skin	Visium	Cancer	high		4991	4991.0	68886	100.0	64.7	-0.04	36288	36544	0.2208
ZEN78	MEL	Skin	Skin	Visium	Cancer	high		4992	4992.0	68886	100.0	64.1	-0.06	35904	36608	0.2208
NCBI884		Lung	Lung	Xenium	Healthy	xenium		2504	2504.0	541	100.0	33.5	-0.91	25630	28964	0.2125
NCBI883		Lung	Lung	Xenium	Healthy	xenium		1277	1277.0	541	100.0	12.8	-1.48	17145	16597	0.2125
NCBI882		Lung	Lung	Xenium	Diseased	xenium		1435	1435.0	541	100.0	16.0	-1.39	17141	20708	0.2125
NCBI881		Lung	Lung	Xenium	Diseased	xenium		1392	1392.0	541	100.0	15.0	-1.42	19973	16596	0.2125
NCBI880		Lung	Lung	Xenium	Diseased	xenium		1168	1168.0	541	100.0	12.8	-1.48	17141	16594	0.2125
NCBI879		Lung	Lung	Xenium	Healthy	xenium		1017	1017.0	541	100.0	10.7	-1.54	14312	16598	0.2125
NCBI876		Lung	Lung	Xenium	Healthy	xenium		1062	1062.0	541	100.0	10.7	-1.54	14301	16598	0.2125
NCBI875		Lung	Lung	Xenium	Healthy	xenium		999	999.0	541	100.0	9.7	-1.57	17132	12491	0.2125
NCBI873		Lung	Lung	Xenium	Diseased	xenium		1484	1484.0	541	100.0	16.0	-1.39	17134	20714	0.2125
NCBI870		Lung	Lung	Xenium	Diseased	xenium		1073	1073.0	541	100.0	12.8	-1.48	17135	16593	0.2125
NCBI867		Lung	Lung	Xenium	Diseased	xenium		3499	3499.0	541	100.0	42.5	-0.66	28462	33048	0.2125
NCBI866		Lung	Lung	Xenium	Diseased	xenium		1604	1604.0	541	100.0	18.7	-1.32	19966	20710	0.2125
NCBI865		Lung	Lung	Xenium	Diseased	xenium		3062	3062.0	541	100.0	37.2	-0.8	28454	28935	0.2125
NCBI864		Lung	Lung	Xenium	Diseased	xenium		2917	2917.0	541	100.0	38.2	-0.77	25624	33047	0.2125
NCBI861		Lung	Lung	Xenium	Diseased	xenium		1121	1121.0	541	100.0	12.8	-1.48	17137	16596	0.2125
NCBI860		Lung	Lung	Xenium	Diseased	xenium		1282	1282.0	541	100.0	15.0	-1.42	19969	16597	0.2125
NCBI859		Lung	Lung	Xenium	Diseased	xenium		1116	1116.0	541	100.0	12.8	-1.48	17140	16592	0.2125
NCBI858		Lung	Lung	Xenium	Diseased	xenium		837	837.0	541	100.0	8.1	-1.61	14306	12484	0.2125
NCBI857		Lung	Lung	Xenium	Diseased	xenium		1767	1767.0	541	100.0	22.4	-1.22	19964	24815	0.2125
NCBI856		Lung	Lung	Xenium	Diseased	xenium		1607	1607.0	541	100.0	19.2	-1.3	17136	24809	0.2125
MISC142		Heart	right cardiac atrium	Visium	Healthy	skip	non_cancer	1302	1302.0	33538	100.0	67.7	0.04	18063	18100	0.455
MISC141		Heart	left cardiac atrium	Visium	Healthy	skip	non_cancer	1702	1702.0	33538	100.0	67.0	0.03	17890	18098	0.4551
MISC140		Heart	apical region of left ventricle	Visium	Healthy	skip	non_cancer	2168	2168.0	33538	100.0	66.6	0.01	17802	18044	0.4552
MISC139		Heart	heart right ventricle	Visium	Healthy	skip	non_cancer	2562	2562.0	33538	100.0	64.7	-0.04	17634	17674	0.4556
MISC138		Heart	interventricular septum	Visium	Healthy	skip	non_cancer	2199	2199.0	33538	100.0	63.6	-0.07	17532	17473	0.4555
MISC136		Heart	atrioventricular node	Visium	Healthy	skip	non_cancer	2090	2090.0	33538	100.0	63.7	-0.07	17955	18186	0.4418
MISC135		Heart	atrioventricular node	Visium	Healthy	skip	non_cancer	2697	2697.0	33538	100.0	63.3	-0.08	17753	18250	0.4419
MISC134		Heart	atrioventricular node	Visium	Healthy	skip	non_cancer	2338	2338.0	33538	100.0	63.2	-0.08	17772	18231	0.4417
MISC133		Heart	atrioventricular node	Visium	Healthy	skip	non_cancer	3153	3153.0	33538	100.0	63.3	-0.08	17826	18163	0.4421
MISC132		Heart	interventricular septum	Visium	Healthy	skip	non_cancer	2843	2843.0	33538	100.0	63.5	-0.07	17861	18159	0.4425
MISC131		Heart	atrioventricular node	Visium	Healthy	skip	non_cancer	2807	2807.0	33538	100.0	63.2	-0.08	17721	18204	0.4425
MISC130		Heart	sinoatrial node	Visium	Healthy	skip	non_cancer	3533	3533.0	17922	100.0	63.0	-0.09	17222	17629	0.4554
MISC129		Heart	sinoatrial node	Visium	Healthy	skip	non_cancer	3533	3533.0	17922	100.0	62.9	-0.09	17243	17604	0.4554
MISC128		Heart	sinoatrial node	Visium	Healthy	skip	non_cancer	3982	3982.0	17922	100.0	63.9	-0.06	17424	17709	0.4551
MISC127		Heart	sinoatrial node	Visium	Healthy	skip	non_cancer	3802	3802.0	33538	100.0	63.4	-0.07	15610	16028	0.5035
MISC126		Heart	atrioventricular node	Visium	Healthy	skip	non_cancer	4521	4521.0	33538	100.0	64.6	-0.04	15829	16103	0.5032
MISC125		Heart	atrioventricular node	Visium	Healthy	skip	non_cancer	3478	3478.0	33538	100.0	65.8	-0.01	15987	16236	0.5034
MISC124		Heart	atrioventricular node	Visium	Healthy	skip	non_cancer	2942	2942.0	33538	100.0	62.4	-0.1	12997	13330	0.6
MISC123		Heart	sinoatrial node	Visium	Healthy	skip	non_cancer	2852	2852.0	33538	100.0	64.9	-0.03	13207	13435	0.6048
MISC122		Heart	sinoatrial node	Visium	Healthy	skip	non_cancer	3430	3430.0	33538	100.0	64.6	-0.04	13077	13548	0.6036
MISC121		Heart	sinoatrial node	Visium	Healthy	skip	non_cancer	3052	3052.0	33538	100.0	64.7	-0.04	13152	13471	0.6045
MISC120		Heart	sinoatrial node	Visium	Healthy	skip	non_cancer	3400	3400.0	33538	100.0	63.5	-0.07	11774	11965	0.6715
MISC119		Heart	sinoatrial node	Visium	Healthy	skip	non_cancer	3448	3448.0	33538	100.0	65.5	-0.02	13211	13590	0.6042
MISC118		Heart	sinoatrial node	Visium	Healthy	skip	non_cancer	2881	2881.0	33538	100.0	63.9	-0.06	10461	10703	0.7554
MISC117		Heart	heart left ventricle	Visium	Healthy	skip	non_cancer	2891	2891.0	33538	100.0	140.8	2.08	34560	19584	0.4561
MISC116		Heart	left cardiac atrium	Visium	Healthy	skip	non_cancer	1831	1831.0	33538	100.0	140.5	2.07	34560	19584	0.4556
MISC115		Heart	left cardiac atrium	Visium	Healthy	skip	non_cancer	1040	1040.0	33538	100.0	140.8	2.08	34560	19584	0.4561
MISC114		Heart	apical region of left ventricle	Visium	Healthy	skip	non_cancer	2177	2177.0	33538	100.0	140.5	2.07	34560	19584	0.4556
MISC113		Heart	right cardiac atrium	Visium	Healthy	skip	non_cancer	2955	2955.0	33538	100.0	125.8	1.66	32832	18432	0.4559
MISC112		Heart	interventricular septum	Visium	Healthy	skip	non_cancer	1564	1564.0	33538	100.0	125.7	1.66	32832	18432	0.4557
MISC111		Heart	interventricular septum	Visium	Healthy	skip	non_cancer	2037	2037.0	33538	100.0	125.8	1.66	32832	18432	0.4559
MISC110		Heart	heart right ventricle	Visium	Healthy	skip	non_cancer	1225	1225.0	33538	100.0	125.8	1.66	32832	18432	0.4559
MISC109		Heart	heart right ventricle	Visium	Healthy	skip	non_cancer	1252	1252.0	33538	100.0	125.6	1.66	32832	18432	0.4556
MISC108		Heart	left cardiac atrium	Visium	Healthy	skip	non_cancer	1249	1249.0	33538	100.0	125.4	1.65	32832	18432	0.4552
MISC107		Heart	apical region of left ventricle	Visium	Healthy	skip	non_cancer	2152	2152.0	33538	100.0	125.3	1.65	32832	18432	0.4551
MISC106		Heart	heart left ventricle	Visium	Healthy	skip	non_cancer	2260	2260.0	33538	100.0	119.4	1.48	31960	18000	0.4556
MISC105		Heart	right cardiac atrium	Visium	Healthy	skip	non_cancer	1035	1035.0	33538	100.0	119.9	1.5	31960	18000	0.4566
MISC104		Heart	heart left ventricle	Visium	Healthy	skip	non_cancer	2073	2073.0	33538	100.0	119.2	1.48	31960	18000	0.4552
MISC103		Heart	right cardiac atrium	Visium	Healthy	skip	non_cancer	1735	1735.0	33538	100.0	126.2	1.67	32832	18432	0.4566
MISC102		Heart	heart left ventricle	Visium	Healthy	skip	non_cancer	1166	1166.0	33538	100.0	125.9	1.66	32832	18432	0.4561
MISC101		Heart	heart left ventricle	Visium	Healthy	skip	non_cancer	1236	1236.0	33538	100.0	125.9	1.66	32832	18432	0.4561
MISC73	COAD	Bowel	Colon	Visium	Cancer	high		3901	3901.0	19074	100.0	115.9	1.39	40647	37511	0.2757
MISC72	COAD	Bowel	Colon	Visium	Cancer	high		4369	4369.0	19310	100.0	85.1	0.53	35672	31259	0.2763
MISC71	COAD	Bowel	Colon	Visium	Cancer	high		2997	2997.0	19251	100.0	114.7	1.35	43347	34811	0.2757
MISC70	COAD	Bowel	Colon	Visium	Cancer	high		3934	3934.0	19116	100.0	77.2	0.31	31693	32000	0.276
MISC69	COAD	Bowel	Colon	Visium	Cancer	high		3634	3634.0	19263	100.0	93.4	0.76	29487	41562	0.2761
MISC68	COAD	Bowel	Colon	Visium	Cancer	high		2708	2708.0	19359	100.0	93.3	0.76	31421	38904	0.2762
MISC67	COAD	Bowel	Colon	Visium	Cancer	high		2551	2551.0	19384	100.0	76.9	0.3	32871	30768	0.2758
MISC66	COAD	Bowel	Colon	Visium	Cancer	high		3970	3970.0	19347	100.0	92.5	0.74	39908	30539	0.2755
MISC65	COAD	Bowel	Colon	Visium	Cancer	high		3261	3261.0	19402	100.0	72.0	0.16	31370	30188	0.2756
MISC64	COAD	Bowel	Colon	Visium	Cancer	high		2533	2533.0	19411	100.0	77.4	0.31	32805	30971	0.276
MISC63	COAD	Bowel	Colon	Visium	Cancer	high		3467	3467.0	19346	100.0	98.0	0.89	37827	34035	0.2759
MISC62	COAD	Bowel	Colon	Visium	Cancer	high		4132	4132.0	19391	100.0	82.0	0.44	35153	30645	0.2759
MISC61		Bowel	Colon	Visium	Tumor	high	tier_inferred_from_organ	2047	2047.0	19343	100.0	76.0	0.28	29654	33509	0.2765
MISC60		Bowel	Colon	Visium	Tumor	high	tier_inferred_from_organ	1014	1014.0	19255	100.0	75.5	0.26	32119	30975	0.2756
MISC59		Bowel	Colon	Visium	Tumor	high	tier_inferred_from_organ	1312	1312.0	19305	100.0	104.2	1.06	44910	30690	0.275
MISC58	COAD	Bowel	Colon	Visium	Cancer	high		1165	1165.0	19259	100.0	66.0	-0.0	29024	29767	0.2764
MISC57	COAD	Bowel	Colon	Visium	Cancer	skip	low_spots(989)	989	989.0	19165	100.0	67.2	0.03	29522	29858	0.2762
MISC56	COAD	Bowel	Colon	Visium	Cancer	high		3395	3395.0	19338	100.0	87.6	0.6	32959	34877	0.2761
MISC55		Bowel	Colon	Visium	Tumor	skip	low_spots(863)	863	863.0	19175	100.0	67.1	0.03	29635	29670	0.2763
MISC54		Bowel	Colon	Visium	Tumor	skip	low_spots(668)	668	668.0	19266	100.0	63.9	-0.06	28593	29474	0.2753
MISC53		Bowel	Colon	Visium	Tumor	skip	low_spots(818)	818	818.0	19315	100.0	63.3	-0.08	28398	29148	0.2765
MISC52		Bowel	Colon	Visium	Tumor	skip	low_spots(229)	229	229.0	19284	100.0	68.2	0.06	29611	30168	0.2762
MISC51	COAD	Bowel	Colon	Visium	Cancer	high		3076	3076.0	19174	100.0	71.0	0.14	30198	30951	0.2757
MISC50	COAD	Bowel	Colon	Visium	Cancer	high		4297	4297.0	18776	100.0	74.6	0.24	30850	31670	0.2764
MISC49	COAD	Bowel	Colon	Visium	Cancer	high		4624	4624.0	19330	100.0	119.6	1.49	43764	35653	0.2769
MISC48	COAD	Bowel	Colon	Visium	Cancer	high		3577	3577.0	19111	100.0	82.9	0.47	33014	32972	0.276
MISC47	COAD	Bowel	Colon	Visium	Cancer	high		4818	4818.0	19327	100.0	102.7	1.02	33578	40228	0.2757
MISC46	COAD	Bowel	Colon	Visium	Cancer	high		4511	4511.0	19337	100.0	110.4	1.23	37926	38293	0.2757
MISC45	COAD	Bowel	Colon	Visium	Cancer	high		4118	4118.0	19270	100.0	119.0	1.47	38651	40469	0.2758
MISC44	COAD	Bowel	Colon	Visium	Cancer	skip	low_spots(932)	932	932.0	18518	100.0	65.6	-0.01	29037	29650	0.276
MISC43	COAD	Bowel	Colon	Visium	Cancer	high		1186	1186.0	19121	100.0	63.8	-0.06	28610	29312	0.2758
MISC42	COAD	Bowel	Colon	Visium	Cancer	skip	low_spots(659)	659	659.0	19304	100.0	62.1	-0.11	28379	29145	0.2741
MISC41	COAD	Bowel	Colon	Visium	Cancer	high		3708	3708.0	19255	100.0	118.4	1.45	43931	35341	0.2761
MISC40	COAD	Bowel	Colon	Visium	Cancer	high		4116	4116.0	19352	100.0	91.7	0.71	38943	30896	0.2761
MISC39	COAD	Bowel	Colon	Visium	Cancer	high		4078	4078.0	19234	100.0	95.9	0.83	42087	29895	0.276
MISC38	COAD	Bowel	Colon	Visium	Cancer	high		1727	1727.0	19366	100.0	81.7	0.43	35714	30081	0.2758
MISC37	COAD	Bowel	Colon	Visium	Cancer	high		3636	3636.0	19396	100.0	69.9	0.11	29932	30740	0.2756
MISC36	COAD	Bowel	Colon	Visium	Cancer	high		3502	3502.0	19119	100.0	123.2	1.59	40790	39664	0.2759
MISC35	COAD	Bowel	Colon	Visium	Cancer	high		3578	3578.0	19061	100.0	87.3	0.59	30735	37362	0.2757
MISC34	COAD	Bowel	Colon	Visium	Cancer	high		3731	3731.0	19276	100.0	88.9	0.63	36404	32110	0.2757
MISC33	COAD	Bowel	Colon	Visium	Cancer	high		3385	3385.0	18729	100.0	90.9	0.69	31838	37517	0.2759
TENX142	HGSOC	Ovary	Ovary	Xenium	Cancer	xenium		3743	3743.0	541	100.0	61.0	-0.14	21806	37330	0.2737
TENX141	LUAD	Lung	Lung	Xenium	Cancer	xenium		4390	4390.0	541	100.0	45.7	-0.57	15513	39361	0.2736
TENX140	PAAD	Pancreas	Pancreas	Xenium	Cancer	xenium		4513	4513.0	541	100.0	58.6	-0.21	19068	41014	0.2738
TENX139	COADREAD	Bowel	Bowel	Xenium	Cancer	xenium		4167	4167.0	541	100.0	65.8	-0.01	21507	40815	0.2737
TENX138	GBM	Brain	Brain	Xenium	Cancer	xenium		10641	10641.0	541	100.0	170.9	2.92	38957	58584	0.2737
TENX137		Bone	Bone	Xenium	Healthy	xenium		9200	9200.0	541	100.0	130.0	1.78	35116	49098	0.2746
TENX136		Bone	Bone	Xenium	Healthy	xenium		12535	12535.0	541	100.0	122.6	1.57	36576	44724	0.2737
TENX135		Bone	Bone	Xenium	Healthy	xenium		7590	7590.0	541	100.0	91.9	0.72	23253	52743	0.2738
TENX134	ALL	Lymphoid	Bone marrow	Xenium	Cancer	xenium		3811	3811.0	541	100.0	30.7	-0.98	11024	37252	0.2735
TENX133		Lymphoid	Bone marrow	Xenium	Healthy	xenium		3811	3811.0	541	100.0	37.6	-0.79	13762	36523	0.2737
TENX132		Bone	Femur bone	Xenium	Healthy	xenium		9682	9682.0	541	100.0	94.1	0.78	34751	36158	0.2737
TENX131		Brain	Brain	Visium HD	Healthy	visium_hd	spot_threshold_review_needed	1635	1.0	19059	2.0	33.9	-0.9	18872	23947	0.2739
TENX129		Bowel	Intestine	Visium HD	Healthy	visium_hd	spot_threshold_review_needed	1748	1.0	19059	2.0	38.9	-0.76	23618	21943	0.2738
TENX128	COAD	Bowel	Colon	Visium HD	Cancer	visium_hd	spot_threshold_review_needed	2279	1.0	18085	2.0	275.1	5.82	75250	48740	0.2739
TENX127		Bowel	Colon	Xenium	Healthy	xenium		4453	4453.0	541	100.0	68.4	0.06	32201	28329	0.2738
TENX126	PAAD	Pancreas	Pancreas	Xenium	Cancer	xenium		2190	2190.0	541	100.0	30.7	-0.98	14896	27502	0.2739
TENX125		Lymphoid	Tonsil	Xenium	Diseased	xenium		10005	10005.0	541	100.0	96.3	0.84	53576	39798	0.2125
TENX124		Lymphoid	Tonsil	Xenium	Diseased	xenium		12707	12707.0	541	100.0	120.5	1.51	47351	33969	0.2737
TENX123		Skin	Skin	Xenium	Healthy	xenium		10810	10810.0	541	100.0	108.3	1.17	56906	42131	0.2125
TENX122		Skin	Skin	Xenium	Healthy	xenium		5626	5626.0	541	100.0	48.0	-0.5	19058	33606	0.2738
TENX121		Liver	Liver	Xenium	Healthy	xenium		9200	9200.0	541	100.0	89.5	0.65	28183	42353	0.2738
TENX120	HCC	Liver	Liver	Xenium	Cancer	xenium		4004	4004.0	538	100.0	39.0	-0.75	15404	33795	0.2737
TENX119		Heart	Heart	Xenium	Healthy	xenium		2263	2263.0	541	100.0	19.6	-1.29	24544	10645	0.2737
TENX118	LUAD	Lung	Lung	Xenium	Cancer	xenium		3115	3115.0	541	100.0	39.2	-0.75	11580	45087	0.2739
TENX117	SKCM	Skin	Skin	Xenium	Cancer	xenium		1830	1830.0	541	100.0	18.0	-1.34	22209	43287	0.1369
TENX116	PAAD	Pancreas	Pancreas	Xenium	Cancer	xenium		3090	3090.0	538	100.0	27.7	-1.07	20562	71883	0.1369
TENX115	SKCM	Skin	Skin	Xenium	Cancer	xenium		3886	3886.0	541	100.0	34.5	-0.88	20342	22673	0.2737
TENX114		Bowel	Colon	Xenium	Healthy	xenium		6006	6006.0	541	100.0	78.4	0.34	53802	77802	0.1369
TENX111	COAD	Bowel	Colon	Xenium	Cancer	xenium		6643	6643.0	541	100.0	86.9	0.58	26909	43090	0.2738
TENX110		Whole organism	Whole organism	Xenium	Healthy	xenium		26565	26565.0	541	100.0	305.2	6.65	82033	49652	0.2737
TENX106		Kidney	Kidney	Xenium	Healthy	xenium		2730	2730.0	541	100.0	29.9	-1.01	11949	33427	0.2737
TENX105	PRCC	Kidney	Kidney	Xenium	Cancer	xenium		1738	1738.0	541	100.0	18.1	-1.34	8832	27323	0.2737
TENX99	IDC	Breast	Breast	Xenium	Cancer	xenium		25080	25080.0	541	100.0	248.4	5.07	51351	107121	0.2125
